"date","geography","value_type","value"
2020-04-07,"London","hospital_inc",722
2020-04-07,"Midlands","hospital_inc",532
2020-04-07,"North East and Yorkshire","hospital_inc",446
2020-04-07,"North West","hospital_inc",375
2020-04-07,"South East","hospital_inc",353
2020-04-07,"South West","hospital_inc",152
2020-04-07,"East of England","hospital_prev",1176
2020-04-07,"East of England","icu_prev",255
2020-04-07,"England","hospital_prev",15342
2020-04-07,"England","icu_prev",2472
2020-04-07,"London","hospital_prev",4149
2020-04-07,"London","icu_prev",876
2020-04-07,"Midlands","hospital_prev",2883
2020-04-07,"Midlands","icu_prev",445
2020-04-07,"North East and Yorkshire","hospital_prev",1979
2020-04-07,"North East and Yorkshire","icu_prev",230
2020-04-07,"North West","hospital_prev",2377
2020-04-07,"North West","icu_prev",243
2020-04-07,"South East","hospital_prev",1970
2020-04-07,"South East","icu_prev",310
2020-04-07,"South West","hospital_prev",808
2020-04-07,"South West","icu_prev",113
2020-04-08,"East of England","hospital_inc",219
2020-04-08,"England","hospital_inc",2619
2020-04-08,"London","hospital_inc",744
2020-04-08,"Midlands","hospital_inc",536
2020-04-08,"North East and Yorkshire","hospital_inc",327
2020-04-08,"North West","hospital_inc",410
2020-04-08,"South East","hospital_inc",249
2020-04-08,"South West","hospital_inc",134
2020-04-08,"East of England","hospital_prev",1159
2020-04-08,"East of England","icu_prev",276
2020-04-08,"England","hospital_prev",15591
2020-04-08,"England","icu_prev",2561
2020-04-08,"London","hospital_prev",4257
2020-04-08,"London","icu_prev",941
2020-04-08,"Midlands","hospital_prev",2865
2020-04-08,"Midlands","icu_prev",450
2020-04-08,"North East and Yorkshire","hospital_prev",2153
2020-04-08,"North East and Yorkshire","icu_prev",260
2020-04-08,"North West","hospital_prev",2364
2020-04-08,"North West","icu_prev",212
2020-04-08,"South East","hospital_prev",1988
2020-04-08,"South East","icu_prev",302
2020-04-08,"South West","hospital_prev",805
2020-04-08,"South West","icu_prev",120
2020-04-09,"East of England","hospital_inc",192
2020-04-09,"England","hospital_inc",2340
2020-04-09,"London","hospital_inc",554
2020-04-09,"Midlands","hospital_inc",374
2020-04-09,"North East and Yorkshire","hospital_inc",336
2020-04-09,"North West","hospital_inc",477
2020-04-09,"South East","hospital_inc",286
2020-04-09,"South West","hospital_inc",121
2020-04-09,"East of England","hospital_prev",1146
2020-04-09,"East of England","icu_prev",265
2020-04-09,"England","hospital_prev",15877
2020-04-09,"England","icu_prev",2546
2020-04-09,"London","hospital_prev",4352
2020-04-09,"London","icu_prev",849
2020-04-09,"Midlands","hospital_prev",2806
2020-04-09,"Midlands","icu_prev",465
2020-04-09,"North East and Yorkshire","hospital_prev",2372
2020-04-09,"North East and Yorkshire","icu_prev",289
2020-04-09,"North West","hospital_prev",2478
2020-04-09,"North West","icu_prev",276
2020-04-09,"South East","hospital_prev",1890
2020-04-09,"South East","icu_prev",284
2020-04-09,"South West","hospital_prev",833
2020-04-09,"South West","icu_prev",118
2020-04-10,"East of England","hospital_inc",215
2020-04-10,"England","hospital_inc",2196
2020-04-10,"London","hospital_inc",531
2020-04-10,"Midlands","hospital_inc",379
2020-04-10,"North East and Yorkshire","hospital_inc",319
2020-04-10,"North West","hospital_inc",352
2020-04-10,"South East","hospital_inc",269
2020-04-10,"South West","hospital_inc",131
2020-04-10,"East of England","hospital_prev",1220
2020-04-10,"East of England","icu_prev",280
2020-04-10,"England","hospital_prev",15849
2020-04-10,"England","icu_prev",2820
2020-04-10,"London","hospital_prev",4111
2020-04-10,"London","icu_prev",1057
2020-04-10,"Midlands","hospital_prev",2950
2020-04-10,"Midlands","icu_prev",464
2020-04-10,"North East and Yorkshire","hospital_prev",2111
2020-04-10,"North East and Yorkshire","icu_prev",292
2020-04-10,"North West","hospital_prev",2637
2020-04-10,"North West","icu_prev",264
2020-04-10,"South East","hospital_prev",1959
